institution_id,country,country_code,name_canonical,name_display,institution_name_norm,legacy_ids,aliases
596,USA,US,Lake Erie College of Osteopathic Medicine at Elmira,Lake Erie College of Osteopathic Medicine at Elmira,lake erie college of osteopathic medicine at elmira,"[""882""]",[]
597,South Africa,ZA,Lakewood conference centre,Lakewood conference centre,lakewood conference centre,"[""429""]",[]
598,South Africa,ZA,Lakewood International Academy,Lakewood International Academy,lakewood international academy,"[""436""]",[]
599,Canada,CA,Lama creations,Lama creations,lama creations,"[""1545""]",[]
600,USA,US,Lamar High School MSA,Lamar High School MSA,lamar high school msa,"[""902""]",[]
601,UK,GB,Lancaster University Islamic Society,Lancaster University Islamic Society,lancaster university islamic society,"[""1546""]",[]
602,USA,US,Lane Tech Muslim Student Association,Lane Tech Muslim Student Association,lane tech muslim student association,"[""997""]",[]
603,Canada,CA,Langara College,Langara College,langara college,"[""1106""]",[]
604,Germany,DE,Laratta & Can GbR,Laratta & Can GbR,laratta can gbr,"[""1310""]",[]
605,Canada,CA,Le Collège Français,Le Collège Français,le coll ge fran ais,"[""160""]",[]
606,South Africa,ZA,Le Kremery,Le Kremery,le kremery,"[""393""]",[]
607,Malaysia,MY,Learning League,Learning League,learning league,"[""327""]",[]
608,Canada,CA,Leaster B Pearson High School MYC,Leaster B Pearson High School MYC,leaster b pearson high school myc,"[""1547""]",[]
609,Canada,CA,Lebanese Student Association,Lebanese Student Association,lebanese student association,"[""101""]",[]
610,USA,US,LECOM AMMSA,LECOM AMMSA,lecom ammsa,"[""943""]",[]
611,UK,GB,Leeds Beckett University ISOC,Leeds Beckett University ISOC,leeds beckett university isoc,"[""575""]",[]
612,UK,GB,Leeds Muslim Medics,Leeds Muslim Medics,leeds muslim medics,"[""1548""]",[]
613,UK,GB,Leeds Muslim Medics + Bengali society,Leeds Muslim Medics + Bengali society,leeds muslim medics bengali society,"[""570""]",[]
614,UK,GB,Leeds Trinity Isoc,Leeds Trinity Isoc,leeds trinity isoc,"[""486""]",[]
615,UK,GB,Leeds Trinity University Islamic Society,Leeds Trinity University Islamic Society,leeds trinity university islamic society,"[""1549""]",[]
616,USA,US,Lehigh University,Lehigh University,lehigh university,"[""981""]",[]
617,USA,US,Lehman College Women In Islam,Lehman College Women In Islam,lehman college women in islam,"[""1550""]",[]
618,Canada,CA,Leslie Dan Faculty of Pharmacy,Leslie Dan Faculty of Pharmacy,leslie dan faculty of pharmacy,"[""173""]",[]
619,USA,US,LFC Muslim Students Association,LFC Muslim Students Association,lfc muslim students association,"[""885""]",[]
620,Canada,CA,Lift Lab Wellness Studio,Lift Lab Wellness Studio,lift lab wellness studio,"[""142""]",[]
621,USA,US,Lincoln Memorial University Debusk College of Osteopathic Medicine,Lincoln Memorial University Debusk College of Osteopathic Medicine,lincoln memorial university debusk college of osteopathic medicine,"[""1551""]",[]
622,South Africa,ZA,Little Folks Nursery School,Little Folks Nursery School,little folks nursery school,"[""394""]",[]
623,USA,US,LIU Brooklyn MSA,LIU Brooklyn MSA,liu brooklyn msa,"[""1553""]",[]
624,UK,GB,Liverpool Hope University,Liverpool Hope University,liverpool hope university,"[""539""]",[]
625,Qatar,QA,Liverpool John Moores University - Qatar,Liverpool John Moores University - Qatar,liverpool john moores university qatar,"[""1555""]",[]
626,UK,GB,Liverpool John Moores University - UK,Liverpool John Moores University - UK,liverpool john moores university uk,"[""529""]",[]
627,UK,GB,London Academy of Excellence (Stratford),London Academy of Excellence (Stratford),london academy of excellence stratford,"[""1557""]",[]
628,UK,GB,London Metropolitan University,London Metropolitan University,london metropolitan university,"[""1202""]",[]
629,UK,GB,London South Bank University,London South Bank University,london south bank university,"[""474""]",[]
630,USA,US,Long Island University,Long Island University,long island university,"[""1558""]",[]
631,UK,GB,Loughborough university isoc,Loughborough university isoc,loughborough university isoc,"[""1559""]",[]
632,USA,US,Loyola Muslim Student Association,Loyola Muslim Student Association,loyola muslim student association,"[""1560""]",[]
633,UK,GB,LSBU Isoc,LSBU Isoc,lsbu isoc,"[""1561""]",[]
634,UK,GB,LSE ISOC,LSE ISOC,lse isoc,"[""1562""]",[]
635,USA,US,LSU MSA,LSU MSA,lsu msa,"[""728""]",[]
636,South Africa,ZA,Luxe Eatery,Luxe Eatery,luxe eatery,"[""466""]",[]
637,Canada,CA,MacEwan University,MacEwan University,macewan university,"[""116""]",[]
638,South Africa,ZA,Madina Institute,Madina Institute,madina institute,"[""1174""]",[]
639,South Africa,ZA,Madina Institute - South Africa,Madina Institute - South Africa,madina institute south africa,"[""387""]",[]
640,USA,US,Madinatul Uloom Institute,Madinatul Uloom Institute,madinatul uloom institute,"[""890""]",[]
641,UK,GB,Maedah Grill,Maedah Grill,maedah grill,"[""561""]",[]
642,Canada,CA,Malaysian Singaporean Students’ Association (UofC),Malaysian Singaporean Students’ Association (UofC),malaysian singaporean students association uofc,"[""128""]",[]
643,USA,US,Malden Islamic Center Youth - Girls,Malden Islamic Center Youth - Girls,malden islamic center youth girls,"[""1563""]",[]
644,Canada,CA,Mama khan,Mama khan,mama khan,"[""20""]",[]
645,UK,GB,Manchester Islamic Grammar School for Girls,Manchester Islamic Grammar School for Girls,manchester islamic grammar school for girls,"[""1205""]",[]
646,UK,GB,Manchester Muslim Preparatory School,Manchester Muslim Preparatory School,manchester muslim preparatory school,"[""1564""]",[]
647,USA,US,Manhattan Center for Science and Mathematics MSA,Manhattan Center for Science and Mathematics MSA,manhattan center for science and mathematics msa,"[""1008""]",[]
648,USA,US,Manhattan University,Manhattan University,manhattan university,"[""1004""]",[]
649,Canada,CA,Manitoba Islamic Association - Winnipeg,Manitoba Islamic Association - Winnipeg,manitoba islamic association winnipeg,"[""87""]",[]
650,Germany,DE,Marburger Muslime e.V.,Marburger Muslime e.V.,marburger muslime e v,"[""1311""]",[]
651,Germany,DE,Maria e.V.,Maria e.V.,maria e v,"[""1127""]",[]
652,Canada,CA,Marianopolis MSA,Marianopolis MSA,marianopolis msa,"[""1565""]",[]
653,USA,US,Marist College,Marist College,marist college,"[""1566""]",[]
654,USA,US,Marist MSA,Marist MSA,marist msa,"[""686""]",[]
655,USA,US,Marjory Stoneman Douglas High School MSA,Marjory Stoneman Douglas High School MSA,marjory stoneman douglas high school msa,"[""896""]",[]
656,Malaysia,MY,Markas FRD,Markas FRD,markas frd,"[""331""]",[]
657,Canada,CA,Markaz-Ul-Islam fort McMurray,Markaz-Ul-Islam fort McMurray,markaz ul islam fort mcmurray,"[""1113""]",[]
658,USA,US,Marshall University,Marshall University,marshall university,"[""832""]",[]
659,USA,US,MAS Boston,MAS Boston,mas boston,"[""951""]",[]
660,USA,US,MAS Dallas,MAS Dallas,mas dallas,"[""1568""]",[]
661,USA,US,MAS Detroit,MAS Detroit,mas detroit,"[""839""]",[]
662,USA,US,MAS Queens,MAS Queens,mas queens,"[""711""]",[]
663,USA,US,MAS Sheepshead Bay,MAS Sheepshead Bay,mas sheepshead bay,"[""1058""]",[]
664,USA,US,MAS Staten Island Center,MAS Staten Island Center,mas staten island center,"[""829""]",[]
665,USA,US,"Masjid Al-Huda of Kingston, Rhode Island","Masjid Al-Huda of Kingston, Rhode Island",masjid al huda of kingston rhode island,"[""928""]",[]
666,USA,US,Masjid Al-Kareem,Masjid Al-Kareem,masjid al kareem,"[""1259""]",[]
667,USA,US,Masjid Al-Rahman - Providence,Masjid Al-Rahman - Providence,masjid al rahman providence,"[""1882""]",[]
668,USA,US,Masjid Al-Rahman Pawtucket RI,Masjid Al-Rahman Pawtucket RI,masjid al rahman pawtucket ri,"[""724""]",[]
669,USA,US,Masjid Ar-Rahman - Dallas,Masjid Ar-Rahman - Dallas,masjid ar rahman dallas,"[""1883""]",[]
670,USA,US,Masjid Ayesha,Masjid Ayesha,masjid ayesha,"[""846""]",[]
671,South Africa,ZA,Masjid ebrahim,Masjid ebrahim,masjid ebrahim,"[""435""]",[]
672,USA,US,Masjid Jamaat Al Mumineen-MJAM,Masjid Jamaat Al Mumineen-MJAM,masjid jamaat al mumineen mjam,"[""871""]",[]
673,UK,GB,Massachusetts Institute of Technology,Massachusetts Institute of Technology,massachusetts institute of technology,"[""1264""]",[]
674,USA,US,Massachusetts Institute of Technology,Massachusetts Institute of Technology,massachusetts institute of technology,"[""1264""]",[]
675,Canada,CA,Maxwell Heights Secondary School,Maxwell Heights Secondary School,maxwell heights secondary school,"[""1569""]",[]
676,South Africa,ZA,Mayfair Montessori,Mayfair Montessori,mayfair montessori,"[""1172""]",[]
677,Ireland,IE,Maynooth university,Maynooth university,maynooth university,"[""1164""]",[]
678,USA,US,Mcarthur High School,Mcarthur High School,mcarthur high school,"[""1570""]",[]
679,Canada,CA,MCC Manitoba Youth Club,MCC Manitoba Youth Club,mcc manitoba youth club,"[""166""]",[]
680,USA,US,MCC: Muslim Community Center,MCC: Muslim Community Center,mcc muslim community center,"[""1571""]",[]
681,USA,US,McGovern Muslims in Medicine,McGovern Muslims in Medicine,mcgovern muslims in medicine,"[""1245""]",[]
682,Canada,CA,McMaster Islamic Relief,McMaster Islamic Relief,mcmaster islamic relief,"[""1094""]",[]
683,USA,US,McMillen MSA - Murphy,McMillen MSA - Murphy,mcmillen msa murphy,"[""1884""]",[]
684,USA,US,McMillen MSA - Plano,McMillen MSA - Plano,mcmillen msa plano,"[""1885""]",[]
685,USA,US,MDC MSA,MDC MSA,mdc msa,"[""958""]",[]
686,USA,US,MDQ Academy,MDQ Academy,mdq academy,"[""952""]",[]
687,UK,GB,Medology,Medology,medology,"[""1189""]",[]
688,UK,GB,Medway Islamic Society,Medway Islamic Society,medway islamic society,"[""472""]",[]
689,UK,GB,Medway ISOC,Medway ISOC,medway isoc,"[""1572""]",[]
690,USA,US,Meharry Muslim Student Organization,Meharry Muslim Student Organization,meharry muslim student organization,"[""1052""]",[]
691,USA,US,Melior Discovery,Melior Discovery,melior discovery,"[""1573""]",[]
692,USA,US,Memorial High School,Memorial High School,memorial high school,"[""931""]",[]
693,USA,US,Mercy University MSA,Mercy University MSA,mercy university msa,"[""1053""]",[]
694,USA,US,Meredith MSA,Meredith MSA,meredith msa,"[""944""]",[]
695,UK,GB,Mfittswim,Mfittswim,mfittswim,"[""621""]",[]
696,USA,US,MGM Youth Group,MGM Youth Group,mgm youth group,"[""889""]",[]
697,UK,GB,MGS Islamic Society,MGS Islamic Society,mgs islamic society,"[""1575""]",[]
698,Germany,DE,MGU Frankfurt,MGU Frankfurt,mgu frankfurt,"[""201""]",[]
699,South Africa,ZA,MHF,MHF,mhf,"[""455""]",[]
700,Germany,DE,MHG Dortmund,MHG Dortmund,mhg dortmund,"[""1128""]",[]
701,Germany,DE,MHG Göttingen,MHG Göttingen,mhg g ttingen,"[""1129""]",[]
702,Germany,DE,MHG Jena,MHG Jena,mhg jena,"[""1158""]",[]
703,Germany,DE,MHG Konstanz,MHG Konstanz,mhg konstanz,"[""222""]",[]
704,Germany,DE,MHG Mainz,MHG Mainz,mhg mainz,"[""1130""]",[]
705,Germany,DE,MHG Osnabrück,MHG Osnabrück,mhg osnabr ck,"[""269""]",[]
706,Germany,DE,MHG OvGU Magdeburg,MHG OvGU Magdeburg,mhg ovgu magdeburg,"[""1144""]",[]
707,Germany,DE,MHV e.V (muslimischer Hochschulverein),MHV e.V (muslimischer Hochschulverein),mhv e v muslimischer hochschulverein,"[""1577""]",[]
708,Germany,DE,MHV Köln e.V.,MHV Köln e.V.,mhv k ln e v,"[""205""]",[]
709,Germany,DE,MHV Ravensburg-Weingarten,MHV Ravensburg-Weingarten,mhv ravensburg weingarten,"[""275""]",[]
710,USA,US,Miami Dade College,Miami Dade College,miami dade college,"[""1578""]",[]
711,USA,US,Miami University,Miami University,miami university,"[""1579""]",[]
712,USA,US,Miami University Oxford MSA,Miami University Oxford MSA,miami university oxford msa,"[""838""]",[]
713,USA,US,MIC youth program,MIC youth program,mic youth program,"[""911""]",[]
714,USA,US,Michigan State University MSA,Michigan State University MSA,michigan state university msa,"[""752""]",[]
715,Canada,CA,Middle and Highschool MSAS,Middle and Highschool MSAS,middle and highschool msas,"[""71""]",[]
716,USA,US,Middle East Refugee Aid,Middle East Refugee Aid,middle east refugee aid,"[""972""]",[]
717,USA,US,Middle Tennessee State University,Middle Tennessee State University,middle tennessee state university,"[""792""]",[]
